lhs,,rhs,support,confidence,coverage,lift,count
{WOBBLY CHICKEN},=>,{DECORATION},0.00126177279077103,1,0.00126177279077103,443.82,28
{WOBBLY CHICKEN},=>,{METAL},0.00126177279077103,1,0.00126177279077103,443.82,28
{DECOUPAGE},=>,{GREETING CARD},0.00103645622099049,1,0.00103645622099049,389.315789473684,23
{BILLBOARD FONTS DESIGN},=>,{WRAP},0.00130683610472714,1,0.00130683610472714,715.838709677419,29
{WRAP},=>,{BILLBOARD FONTS DESIGN},0.00130683610472714,0.935483870967742,0.00139696273263936,715.838709677419,29
{ENAMEL PINK TEA CONTAINER},=>,{ENAMEL PINK COFFEE CONTAINER},0.00139696273263936,0.815789473684211,0.00171240593033212,385.174132138858,31
{WOBBLY RABBIT},=>,{DECORATION},0.00153215267450768,1,0.00153215267450768,443.82,34
{WOBBLY RABBIT},=>,{METAL},0.00153215267450768,1,0.00153215267450768,443.82,34
{ART LIGHTS},=>,{FUNK MONKEY},0.00171240593033212,1,0.00171240593033212,583.973684210526,38
{FUNK MONKEY},=>,{ART LIGHTS},0.00171240593033212,1,0.00171240593033212,583.973684210526,38
