lhs,,rhs,support,confidence,coverage,lift,count
{BLACK TEA},=>,{SUGAR JARS},0.00207646819843813,1,0.00207646819843813,238.204301075269,46
{BLACK TEA},=>,{COFFEE},0.00207646819843813,1,0.00207646819843813,69.228125,46
{WHITE TEA},=>,{SUGAR JARS},0.0029341398456191,1,0.0029341398456191,238.204301075269,65
{WHITE TEA},=>,{COFFEE},0.0029341398456191,1,0.0029341398456191,69.228125,65
{C PAINTED LETTERS},=>,{B},0.00248273371552386,1,0.00248273371552386,402.781818181818,55
{B},=>,{C PAINTED LETTERS},0.00248273371552386,1,0.00248273371552386,402.781818181818,55
{C PAINTED LETTERS},=>,{NURSERY A},0.00248273371552386,1,0.00248273371552386,402.781818181818,55
{NURSERY A},=>,{C PAINTED LETTERS},0.00248273371552386,1,0.00248273371552386,402.781818181818,55
{B},=>,{NURSERY A},0.00248273371552386,1,0.00248273371552386,402.781818181818,55
{NURSERY A},=>,{B},0.00248273371552386,1,0.00248273371552386,402.781818181818,55
